0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
29,12,9,15,21,19,25,12,10,1,8,28,1,25,17,24,21,11,22,27,14,13,5,6,28,20,14
11,24,28,0,17,13,24,28,9,19,0,18,10,14,0,15,1,12,4,9,8,9,24,8,17,13,17
15,0,27,27,5,17,4,16,19,3,13,11,4,18,0,8,14,22,12,24,19,17,6,1,1,28,8
20,8,12,3,20,20,5,21,14,17,29,16,18,5,22,27,11,0,16,1,6,8,4,2,28,12,26
